1654814667504,2071,Home AutomationPractice/index.php-69,200,OK,AutomationPractice 1-1,text,true,,82302,386,1,1,http://automationpractice.com/index.php,1725,0,214
1654814669592,3708,Home Sign In/index.php-77,200,OK,AutomationPractice 1-1,text,true,,36107,936,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,1017,0,0
1654814669592,1017,Home Sign In/index.php-77-0,302,Moved Temporarily,AutomationPractice 1-1,text,true,,583,458,1,1,http://automationpractice.com/index.php?controller=my-account,1017,0,0
1654814670611,2689,Home Sign In/index.php-77-1,200,OK,AutomationPractice 1-1,text,true,,35524,478,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,2557,0,0
1654814677342,6536,Already registered/index.php?controller=authentication-89,200,OK,AutomationPractice 1-1,text,true,,37634,1896,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,1161,0,75
1654814677342,1161,Already registered/index.php?controller=authentication-89-0,302,Moved Temporarily,AutomationPractice 1-1,text,true,,1541,700,1,1,http://automationpractice.com/index.php?controller=authentication,1161,0,75
1654814678503,2714,Already registered/index.php?controller=authentication-89-1,302,Moved Temporarily,AutomationPractice 1-1,text,true,,579,588,1,1,http://automationpractice.com/index.php?controller=my-account,2714,0,0
1654814681217,2661,Already registered/index.php?controller=authentication-89-2,200,OK,AutomationPractice 1-1,text,true,,35514,608,1,1,http://automationpractice.com/index.php?controller=authentication&back=my-account,2520,0,0
1654814683880,5281,Already registered/index.php?rand=1654715759491-92,200,OK,AutomationPractice 1-1,text,true,,82863,1185,1,1,http://automationpractice.com/index.php,2319,0,0
1654814683880,2319,Already registered/index.php?rand=1654715759491-92-0,302,Moved Temporarily,AutomationPractice 1-1,text,true,,590,634,1,1,http://automationpractice.com/index.php?rand=1654715759491,2319,0,0
1654814686200,2961,Already registered/index.php?rand=1654715759491-92-1,200,OK,AutomationPractice 1-1,text,true,,82273,551,1,1,http://automationpractice.com/index.php,2119,0,0
1654814689165,3247,My Addresses/index.php-96,200,OK,AutomationPractice 1-1,text,true,,36088,978,1,1,http://automationpractice.com/index.php?controller=authentication&back=addresses,1170,0,0
1654814689165,1170,My Addresses/index.php-96-0,302,Moved Temporarily,AutomationPractice 1-1,text,true,,576,479,1,1,http://automationpractice.com/index.php?controller=addresses,1170,0,0
1654814690335,2077,My Addresses/index.php-96-1,200,OK,AutomationPractice 1-1,text,true,,35512,499,1,1,http://automationpractice.com/index.php?controller=authentication&back=addresses,1863,0,0
1654814692413,7335,Add New Addresses/index.php-101,200,OK,AutomationPractice 1-1,text,true,,36098,974,1,1,http://automationpractice.com/index.php?controller=authentication&back=addresses,1201,0,0
1654814692413,1201,Add New Addresses/index.php-101-0,302,Moved Temporarily,AutomationPractice 1-1,text,true,,576,476,1,1,http://automationpractice.com/index.php?controller=address,1201,0,0
1654814693614,6134,Add New Addresses/index.php-101-1,200,OK,AutomationPractice 1-1,text,true,,35522,498,1,1,http://automationpractice.com/index.php?controller=authentication&back=addresses,1382,0,0
